Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Price per week
DAY CARE CENTER,360911004,FUSD/LIVE OAK ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5640,9522 LIVE OAK AVENUE,FONTANA,CA,92335,SAN BERNARDINO,9,48,LICENSED,4/6/1992,,
DAY CARE CENTER,360911249,FUSD/LOCUST ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5650,7420 LOCUST AVENUE,FONTANA,CA,92336,SAN BERNARDINO,9,24,LICENSED,4/5/1993,,
DAY CARE CENTER,360911196,FUSD/MANGO ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5660,7450 MANGO AVENUE,FONTANA,CA,92336,SAN BERNARDINO,9,48,LICENSED,4/1/1993,,
DAY CARE CENTER,360911250,FUSD/MAPLE ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5670,751 S. MAPLE,FONTANA,CA,92335,SAN BERNARDINO,9,96,LICENSED,5/18/1993,,
DAY CARE CENTER,360911003,FUSD/NORTH TAMARIND ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5680,7961 TAMARIND AVENUE,FONTANA,CA,92336,SAN BERNARDINO,9,22,LICENSED,4/6/1992,,
DAY CARE CENTER,364803437,FUSD/OAK PARK,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5696,14200 LIVE OAK AVENUE,FONTANA,CA,92337,SAN BERNARDINO,9,24,LICENSED,1/30/1997,,
DAY CARE CENTER,360911010,FUSD/OLEANDER ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5700,8650 OLEANDER AVENUE,FONTANA,CA,92335,SAN BERNARDINO,9,48,LICENSED,4/7/1992,,
DAY CARE CENTER,360911002,FUSD/PALMETTO ELEMENTARY SCHOOL,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5710,9325 PALMETTO AVENUE,FONTANA,CA,92335,SAN BERNARDINO,9,48,LICENSED,4/6/1992,,
DAY CARE CENTER,364800897,FUSD/POPLAR ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5720,9937 POPLAR AVENUE,FONTANA,CA,92335,SAN BERNARDINO,9,24,LICENSED,1/12/1995,,
DAY CARE CENTER,364803884,FUSD/PRIMROSE ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5790,751 N. MAPLE AVENUE,FONTANA,CA,92336,SAN BERNARDINO,9,22,CLOSED,7/31/1997,1/19/2018,
DAY CARE CENTER,360911007,FUSD/RANDALL-PEPPER,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5739,16613 RANDALL AVE.,FONTANA,CA,92335,SAN BERNARDINO,9,96,LICENSED,4/6/1992,,
DAY CARE CENTER,360911001,FUSD/REDWOOD ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5740,8570 REDWOOD AVENUE,FONTANA,CA,92335,SAN BERNARDINO,9,48,LICENSED,4/6/1992,,
DAY CARE CENTER,364803883,FUSD/SHADOW HILLS ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5750,14300 SHADOW DRIVE,FONTANA,CA,92337,SAN BERNARDINO,9,48,LICENSED,7/31/1997,,
DAY CARE CENTER,364803882,FUSD/SOUTH TAMARIND ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5760,8561 TAMARIND AVE.,FONTANA,CA,92335,SAN BERNARDINO,9,24,LICENSED,7/31/1997,,
DAY CARE CENTER,360911439,FUSD/TOKAY ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5770,7846 TOKAY AVENUE,FONTANA,CA,92336,SAN BERNARDINO,9,48,LICENSED,7/22/1993,,
DAY CARE CENTER,360911008,FUSD/WEST RANDALL ELEMENTARY,FONTANA UNIFIED SCHOOL DISTRICT,DARCY WHITNEY,(909) 357-5780,15620 RANDALL AVE.,FONTANA,CA,92335,SAN BERNARDINO,9,48,LICENSED,4/7/1992,,
DAY CARE CENTER,313617602,FUSION EARLY LEARNING,FUSION PRESCHOOL ACADEMY LLC,"CHARLSON, CLINT",(916) 437-8216,202 BONITA STREET,ROSEVILLE,CA,95678,PLACER,3,75,CLOSED,10/3/2013,10/6/2015,
DAY CARE CENTER,515406597,FUSION EARLY LEARNING,FUSION PRESCHOOL ACADEMY LLC,"EVERETT, KELLI",(530) 741-3500,613 A BOGUE ROAD,YUBA CITY,CA,95991,SUTTER,13,60,CLOSED,10/17/2014,1/10/2017,
DAY CARE CENTER,585407404,FUSION EARLY LEARNING PRE-SCHOOL,FUSION PRESCHOOL ACADEMY LLC,"CHARLSON, CLINT",(916) 296-8011,1280 ZANES DRIVE,PLUMAS LAKE,CA,95961,YUBA,13,60,LICENSED,9/25/2018,,
DAY CARE CENTER,515405496,FUSION PRESCHOOL ACADEMY II,FUSION PRESCHOOL ACADEMY LLC,"EVERETT, KELLI",(530) 674-7595,1191 LIVE OAK BLVD.,YUBA CITY,CA,95991,SUTTER,13,54,LICENSED,8/1/2008,,
DAY CARE CENTER,585405936,FUSION P/S ACADEMY III/LITTLE CONE ZONE,FUSION PRESCHOOL ACADEMY LLC,"WALKER, MICHEYL",(530) 923-2731,701 B STREET,MARYSVILLE,CA,95901,YUBA,13,44,LICENSED,1/31/2011,,
DAY CARE CENTER,304371230,FUTABA PRESCHOOL,FUTABAKAI INC.,"OKA, TOMOMI",(949) 444-9403,23802 AVENIDA DE LA CARLOTA,LAGUNA HILLS,CA,92653,ORANGE,6,45,LICENSED,10/22/2018,,
DAY CARE CENTER,376701270,FUTURE ACHIEVERS PRESCHOOL,"BAME RENAISSANCE, INC.",KELLY MORENO,(619) 858-0563,2754 IMPERIAL AVENUE,SAN DIEGO,CA,92102,SAN DIEGO,20,15,CLOSED,2/1/2017,3/27/2018,
DAY CARE CENTER,376701361,FUTURE ACHIEVERS PRESCHOOL/LOGAN HEIGHTS CDC,LOGAN HEIGHTS CDC,SHANNON HONTZ,(619) 947-9689,3040 IMPERIAL AVENUE,SAN DIEGO,CA,92102,SAN DIEGO,20,26,LICENSED,3/27/2018,,
DAY CARE CENTER,434400397,FUTURE ASSETS CHILD DEVELOPMENT,FUTURE ASSETS INC.,MARIAN SHARIFNEJAD,(408) 252-0203,7245 SHARON DRIVE,SAN JOSE,CA,95129,SANTA CLARA,7,96,CLOSED,1/5/1998,3/24/2015,
DAY CARE CENTER,163808733,FUTURE HOPE PRESCHOOL,KOINONIA CHRISTIAN FELLOWSHIP,"CORDERO, DEBORAH",(559) 707-6395,12536 HANFORD-ARMONA ROAD,HANFORD,CA,93230,KINGS,4,36,LICENSED,7/27/2012,,
DAY CARE CENTER,197414214,FUTURE KIDS LEARNING ACADEMY (PRESCHOOL),"FUTUREKIDS LEARNING ACADEMY, LLC",SHEELA DERANIYAGALA,(310) 549-3762,736 W. 228 TH STREET,TORRANCE,CA,90502,LOS ANGELES,30,39,LICENSED,4/18/2007,,
DAY CARE CENTER,304370996,FUTURE MINDS MONTESSORI,"SALGADO, SIRANGI SASHI & SHIRAN HEMANTHA","SALGADO, SIRANGI & SHIRAN",(714) 309-0946,408 S. FLOWER AVENUE,BREA,CA,92821,ORANGE,6,44,LICENSED,8/14/2015,,
DAY CARE CENTER,197419671,FUTURE SCHOLARS ACADEMY,"RAINEY, RUTHENIA","SWAN, RASHIDA",(310) 973-1387,13703 PRAIRIE AVENUE,HAWTHORNE,CA,90250,LOS ANGELES,30,24,CLOSED,,4/13/2015,
DAY CARE CENTER,197494316,FUTURE STARS ACADEMY,FUTURE STARS ACADEMY,"OLSHANSKY, IRENE",(323) 938-5995,4946 W. 20TH STREET,LOS ANGELES,CA,90016,LOS ANGELES,30,30,PENDING,,,
DAY CARE CENTER,197494318,FUTURE STARS ACADEMY,FUTURE STARS ACADEMY,"OLSHANSKY, IRENE",(323) 938-5900,5005 W. 21ST STREET,LOS ANGELES,CA,90016,LOS ANGELES,30,48,PENDING,,,
DAY CARE CENTER,197411135,FUTURE STARS CHILDREN'S ACADEMY,"OCEAN-SKY I.M. INVESTMENTS, INC.",SARH HAWKINS,(310) 530-0256,2320 PACIFIC COAST HIGHWAY,LOMITA,CA,90717,LOS ANGELES,30,84,LICENSED,6/22/2004,,
DAY CARE CENTER,197494326,FUTUREKIDS LEARNING ACADEMY,FUTUREKIDS LEARNING ACADEMY,"MARTINEZ, CANDIDA",(310) 323-8739,18909 CRENSHAW BLVD,TORRANCE,CA,90504,LOS ANGELES,30,34,LICENSED,11/25/2019,,
DAY CARE CENTER,13418175,FUZZY CATERPILLAR,FUZZY CATERPILLAR PRESCHOOL,"RISSE, TALI",(510) 769-1724,1510-1504A ENCINAL AVENUE,ALAMEDA,CA,94501,ALAMEDA,2,66,LICENSED,2/3/2006,,
DAY CARE CENTER,304270592,FVSD - OKA SCHOOL,FOUNTAIN VALLEY SCHOOL DISTRICT,"RAMIREZ, CONNIE",(714) 962-4099,9800 YORKTOWN,HUNTINGTON BEACH,CA,92646,ORANGE,6,24,LICENSED,9/7/1999,,
DAY CARE CENTER,191871500,"F.K.C. PRICE III, CHILD CARE CTR",CRENSHAW CHRISTIAN CENTER,DARLENE BLADON,(323) 758-3777,7901 SO. VERMONT AVE.,LOS ANGELES,CA,90044,LOS ANGELES,30,80,LICENSED,8/27/2008,,
DAY CARE CENTER,270710358,GABILAN HEAD START,MONTEREY COUNTY OFFICE OF EDUCATION,"FLETES, SANDRA",(831) 385-1568,417 NORTH RUSS STREET,KING CITY,CA,93930,MONTEREY,7,80,LICENSED,8/30/1991,,
DAY CARE CENTER,354408903,GABILAN HILLS PRESCHOOL,HOLLISTER SCHOOL DISTRICT,ROSA APODACA,(831) 636-4430,901 SANTA ANA ROAD,HOLLISTER,CA,95023,SAN BENITO,7,16,CLOSED,3/10/2008,3/23/2017,
DAY CARE CENTER,274404334,GABILAN MIGRANT HEAD START,COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO CO,"CASTELLANOS, WILLIAM",(831) 678-1525,1303 METZ ROAD,SOLEDAD,CA,93960,MONTEREY,7,48,CLOSED,11/6/2000,10/28/2015,
DAY CARE CENTER,274408917,GABILAN STATE PRESCHOOL,SOLEDAD UNIFIED SCHOOL DISTRICT,LORI MORONES,(831) 678-1581,330 N. WALKER,SOLEDAD,CA,93960,MONTEREY,7,24,LICENSED,8/8/2008,,
DAY CARE CENTER,191570873,GAINES ELEMENTARY SCHOOL CDC,PARAMOUNT UNIFIED SCHOOL DISTRICT,ELIDA GARCIA,(562) 602-6900,7340 E. JACKSON STREET,PARAMOUNT,CA,90723,LOS ANGELES,54,64,LICENSED,2/9/1995,,
DAY CARE CENTER,198012201,GAINES STATE PRESCHOOL,PARAMOUNT UNIFIED SCHOOL DISTRICT,ELIDA GARCIA,(562) 602-6900,7340 E. JACKSON STREET,PARAMOUNT,CA,90723,LOS ANGELES,54,25,LICENSED,11/3/2005,,
DAY CARE CENTER,197494108,GALAXY KIDS ACADEMY,"GALAXY MEDICAL COLLEGE, INC.","GEVORGYAN, ANAIT",(310) 502-3810,6543 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,30,60,LICENSED,3/1/2019,,
DAY CARE CENTER,243808264,GALEN CLARK HEAD START,MERCED CO. OFFICE OF EDUCATION REGIONAL HEAD START,"HENDRICKS, CHRISTIE",(209) 381-5178,213 EAST 11TH STREET,MERCED,CA,95340,MERCED,4,28,LICENSED,1/25/2006,,
DAY CARE CENTER,240406741,GALEN CLARK PRESCHOOL,MERCED CITY SCHOOL DISTRICT,"COLE, MELANIE",(209) 385-6619,211 EAST 11TH STREET,MERCED,CA,95340,MERCED,4,84,LICENSED,8/29/1991,,
DAY CARE CENTER,434413030,GALILEO PRESCHOOL,GALILEO PRESCHOOL,ANUJA DOSHI,(408) 267-3000,1250 BLOSSOM HILL ROAD,SAN JOSE,CA,95118,SANTA CLARA,7,70,LICENSED,11/13/2012,,
DAY CARE CENTER,434416256,GALILEO PRESCHOOL,BRIGHT HORIZONS CHILDRENS CENTER LLC GALILEO PRESC,ERIN SUBALA,(408) 340-0796,1250 BLOSSOM HILL ROAD,SAN JOSE,CA,95118,SANTA CLARA,7,70,PENDING,,,
DAY CARE CENTER,376700128,GAMMY'S PRESCHOOL DISCOVERY CENTER,"KAY, TRUDYANNE","KAY, TRUDY ANNE",(619) 390-0308,12101 LAKESIDE AVENUE,LAKESIDE,CA,92040,SAN DIEGO,51,26,CLOSED,9/6/2005,11/15/2016,
DAY CARE CENTER,10205169,GAN AVRAHAM NURSERY SCHOOL,TEMPLE BETH ABRAHAM.,"JILL ROSENTHAL,MARTA MOLIN",(510) 763-7528,330 EUCLID,OAKLAND,CA,94610,ALAMEDA,2,60,LICENSED,4/24/1981,,
DAY CARE CENTER,73405006,GAN B'NAI SHALOM AT CONGREGATION B'NAI SHALOM,CONGREGATION B'NAI SHALOM OF CONTRA COSTA COUNTY,"MEDWIN, MARLA",(925) 933-7633,74 ECKLEY LANE,WALNUT CREEK,CA,94596,CONTRA COSTA,2,65,LICENSED,8/16/2005,,
DAY CARE CENTER,566212127,GAN CAMARILLO PRESCHOOL,"CHABAD OF CAMARILLO, INC.",DEVORAH LEAH LANG,(805) 982-0831,2222 VENTURA BLVD.,CAMARILLO,CA,93010,VENTURA,17,30,LICENSED,8/31/2007,,
DAY CARE CENTER,197410026,GAN CHABAD PRESCHOOL,CHABAD ISRAELI CENTER,"YEMINI, FAYE",(310) 271-6193,1536 S. ROBERTSON BOULEVARD,LOS ANGELES,CA,90035,LOS ANGELES,30,40,LICENSED,7/31/2003,,
DAY CARE CENTER,573610796,GAN HAVERIM PRESCHOOL,CONGREGATION BET HAVERIM,TRUDI SCHWARZ,(530) 758-0842,1715 ANDERSON ROAD,DAVIS,CA,95616,YOLO,53,65,LICENSED,9/1/2005,,
DAY CARE CENTER,73401949,GAN ILAN PRESCHOOL - TEMPLE ISAIAH,TEMPLE ISAIAH OF CONTRA COSTA COUNTY,"SORSCHER, ALISON",(925) 284-8453,945 RISA ROAD,LAFAYETTE,CA,94549,CONTRA COSTA,2,95,LICENSED,8/12/1999,,
DAY CARE CENTER,213000375,GAN ISRAEL NURSERY SCHOOL,CHABAD OF MARIN-SONOMA INC,"RICE, GITTEL",(415) 507-0460,1055 LAS OVEJAS RM.#17,SAN RAFAEL,CA,94903,MARIN,5,30,LICENSED,9/14/1994,,
DAY CARE CENTER,490102569,GAN ISRAEL PRESCHOOL,CONGREGATION B'NAI ISRAEL,"LAURITZEN, LESLEE",(707) 763-5136,740 WESTERN AVENUE,PETALUMA,CA,94952,SONOMA,1,35,LICENSED,8/31/1979,,
DAY CARE CENTER,197413851,GAN ISRAEL PRESCHOOL,JEWISH CENTER OF THE BAY CITIES INCORPORATED,"RABINOWITZ, RIVKA",(310) 394-3200,1341 9TH ST,SANTA MONICA,CA,90401,LOS ANGELES,30,45,LICENSED,2/9/2007,,
DAY CARE CENTER,191203722,GAN ISRAEL PRESCHOOL,"FRIENDS OF LUBAVITCH, INC","HUTCHINGS, RENEE",(818) 758-3838,18181 BURBANK BLVD,TARZANA,CA,91356,LOS ANGELES,30,139,LICENSED,7/3/1996,,
DAY CARE CENTER,10210219,GAN MAH TOV PRESCHOOL,"BETH JACOB CONGREGATION OF OAKLAND, THE","BENCUYA, ANNA",(510) 530-2146,3778 PARK BOULEVARD,OAKLAND,CA,94610,ALAMEDA,2,40,LICENSED,1/26/1987,,
DAY CARE CENTER,197415776,GAN MALIBU EARLY CHILDHOOD CENTER,"CHABAD OF MALIBU, INC.",SARAH CUNIN,(310) 456-6573,22933 PACIFIC COAST HIGHWAY,MALIBU,CA,90265,LOS ANGELES,30,29,LICENSED,11/25/2008,,
DAY CARE CENTER,384002445,GAN NOE PRESCHOOL,"POTASH, LEAH","POTASH, LEAH",(415) 648-8000,3781 CESAR CHAVEZ STREET,SAN FRNCISCO,CA,94110,SAN FRANCISCO,5,30,LICENSED,9/3/2014,,
DAY CARE CENTER,10213705,GAN SAMEACH NURSERY SCHOOL,TEMPLE BETH TORAH,"JACOB, ANNIE",(510) 651-5833,42000 PASEO PADRE PARKWAY,FREMONT,CA,94539,ALAMEDA,52,22,LICENSED,10/9/1991,,
DAY CARE CENTER,197415614,GAN SHELANU PRESCHOOL CENTER,"ILANIT, MEIR","MEIR, ILANIT",(818) 266-4953,13625 BURBANK BLVD.,SHERMAN OAKS,CA,91401,LOS ANGELES,30,40,LICENSED,8/27/2008,,
DAY CARE CENTER,197415337,GAN WEST PRESCHOOL,CHABAD JEWISH CENTER,SARA GREISMAN,(310) 391-9800,12053 JEFFERSON,CULVER CITY,CA,90230,LOS ANGELES,30,36,LICENSED,6/27/2008,,
DAY CARE CENTER,197493051,GAN YAFFA CHILDREN CENTER,YAFFA BITTON MARCUS,YAFFA MARCUS,(310) 556-2159,1846 SOUTH ROBERTSON BLVD.,LOS ANGELES,CA,90035,LOS ANGELES,30,35,LICENSED,9/20/2016,,
DAY CARE CENTER,197412902,GAN YAFFA PRESCHOOL,"MARCUS, YAFFA B.","MARCUS, YAFFA B.",(310) 556-2159,177 S. ROBERTSON BLVD.,BEVERLY HILLS,CA,90211,LOS ANGELES,30,65,CLOSED,11/14/2005,9/20/2016,
DAY CARE CENTER,313616885,GAN YELADIM JEWISH PRESCHOOL,JEWISH COMMUNITY CENTER CHABAD,"KORIK, MALKA",(916) 500-4522,4410 DOUGLAS BLVD.,GRANITE BAY,CA,95746,PLACER,3,30,LICENSED,1/30/2012,,
DAY CARE CENTER,73408242,GAN YILADIM PRESCHOOL,CHABAD OF CONTRA COSTA,CHAYA BERKOWITZ,(925) 937-4101,1671 NEWELL AVENUE,WALNUT CREEK,CA,94596,CONTRA COSTA,2,22,LICENSED,1/31/2018,,
DAY CARE CENTER,414000264,GANON CENTER/PENINSULA TEMPLE BETH EL,PENINSULA TEMPLE BETH-EL,MEREDITH REICH LIRON,(650) 349-4911,1700 ALAMEDA DE LAS PULGAS,SAN MATEO,CA,94403,SAN MATEO,5,87,LICENSED,9/3/1996,,
DAY CARE CENTER,198001364,GARCIA PARK HEAD START,FOUNDATION FOR EARLY CHILDHOOD EDUCATION,ROSEMARIE ZEPEDA,(323) 262-7466,1016 S. FRESNO ST.,LOS ANGELES,CA,90023,LOS ANGELES,54,34,CLOSED,8/24/1995,3/1/2017,
DAY CARE CENTER,198008126,"GARDEN COOPERATIVE NURSERY SCHOOL, THE","GARDEN COOPERATIVE NURSERY SCHOOL, THE",LISA ANAND,(323) 258-4525,3602 EAGLE ROCK BLVD.,LOS ANGELES,CA,90065,LOS ANGELES,33,24,LICENSED,4/11/2003,,
DAY CARE CENTER,13414308,GARDEN DAY MONTESSORI SCHOOL,"MILLER, JENNIFER","MILLER, JENNIFER",(510) 649-9110,1332 PARKER STREET,BERKELEY,CA,94702,ALAMEDA,2,20,LICENSED,4/23/1999,,
DAY CARE CENTER,376700996,GARDEN DAY SCHOOL,"CRUZ HAMILTON, DEBRA",DEBRA CRUZ HAMILTON,(760) 967-7000,3815 MISSION AVENUE,OCEANSIDE,CA,92058,SAN DIEGO,10,60,LICENSED,8/15/2013,,
DAY CARE CENTER,73405023,GARDEN GATE MONTESSORI SCHOOL,MIMI GLASS,MIMI GLASS,(925) 943-7484,63 SANDY LANE,WALNUT CREEK,CA,94597,CONTRA COSTA,2,20,LICENSED,12/5/2005,,
DAY CARE CENTER,434410784,GARDEN GATE PRESCHOOL CDC,CONTINUING DEVELOPMENT INC.,MADHU PAUL,(408) 725-0269,10500 ANN ARBOR AVENUE,CUPERTINO,CA,95014,SANTA CLARA,7,24,LICENSED,6/19/2009,,
DAY CARE CENTER,304370320,GARDEN GROVE 1ST PRESCHOOL,GARDEN GROVE 1ST PRESCHOOL,LE VO,(714) 537-8900,8461 GARDEN GROVE BLVD.,GARDEN GROVE,CA,92844,ORANGE,6,100,LICENSED,1/23/2007,,
DAY CARE CENTER,304270447,GARDEN GROVE COUNTRY CHRISTIAN PRESCHOOL,GARDEN GROVE COUNTRY CHRISTIAN PRE-SCHOOL,EUN KYUNG KIM,(714) 539-5105,9221 CHAPMAN AVE.,GARDEN GROVE,CA,92841,ORANGE,6,45,CLOSED,5/19/1998,8/31/2016,
DAY CARE CENTER,304370670,GARDEN GROVE MONTESSORI ACADEMY,"KKJ SERVICES GROUP, INC.","JAVA, KIRAN",(714) 636-6300,10141 LAMPSON AVENUE,GARDEN GROVE,CA,92840,ORANGE,6,43,LICENSED,1/13/2011,,
DAY CARE CENTER,304370375,GARDEN GROVE UNIFIED SCHOOL DISTRICT / BRYANT,GARDEN GROVE UNIFIED SCHOOL DISTRICT,TANYA DELEON,(714) 663-6451,8371 ORANGEWOOD,GARDEN GROVE,CA,92844,ORANGE,6,48,LICENSED,8/27/2007,,
DAY CARE CENTER,304370376,GARDEN GROVE UNIFIED SCHOOL DISTRICT / EISENHOWER,GARDEN GROVE UNIFIED SCHOOL DISTRICT,BETH JONES,(714) 663-6401,13221 LILY STREET,GARDEN GROVE,CA,92843,ORANGE,6,24,CLOSED,8/27/2007,9/2/2015,
DAY CARE CENTER,304370198,GARDEN GROVE UNIFIED SCHOOL DISTRICT/BROOKHURST,GARDEN GROVE UNIFIED SCHOOL DISTRICT,"RANGEL, DIANNA",(714) 663-6556,9821 CATHERINE AVE.,GARDEN GROVE,CA,92841,ORANGE,6,72,LICENSED,10/7/2005,,
DAY CARE CENTER,304370029,GARDEN GROVE UNIFIED SCHOOL DISTRICT/CLINTON,GARDEN GROVE UNIFIED SCHOOL DISTRICT,SUE MCCLELLAN,(714) 663-6298,13851 CLINTON STREET,GARDEN GROVE,CA,92843,ORANGE,6,168,LICENSED,9/4/2003,,
DAY CARE CENTER,300614013,GARDEN GROVE UNIFIED SCHOOL DISTRICT/HERITAGE,GARDEN GROVE UNIFIED SCHOOL DISTRICT,"PINCHOT, MICHELLE",(714) 663-6108,"426 SOUTH ANDRES PLACE, ROOM 7",SANTA ANA,CA,92704,ORANGE,6,48,LICENSED,5/11/1992,,
DAY CARE CENTER,304370335,GARDEN GROVE UNIFIED SCHOOL DISTRICT/LAWRENCE,GARDEN GROVE UNIFIED SCHOOL DISTRICT,"KAWAI, JULIE",(714) 663-6255,12521 MONROE STREET,GARDEN GROVE,CA,92841,ORANGE,6,46,LICENSED,4/3/2007,,
DAY CARE CENTER,304370197,GARDEN GROVE UNIFIED SCHOOL DISTRICT/PETERS,GARDEN GROVE UNIFIED SCHOOL DISTRICT,KYLE BENHAM,(714) 663-6085,13162 NEWHOPE STREET,GARDEN GROVE,CA,92843,ORANGE,6,48,LICENSED,10/7/2005,,
DAY CARE CENTER,300614014,GARDEN GROVE UNIFIED SCHOOL DISTRICT/ROSITA,GARDEN GROVE UNIFIED SCHOOL DISTRICT,DON TERRERI,(714) 663-6418,4726 WEST HAZARD ST. ROOM 71,SANTA ANA,CA,92703,ORANGE,6,72,LICENSED,5/11/1992,,
DAY CARE CENTER,300614012,GARDEN GROVE UNIFIED SCHOOL DISTRICT/RUSSELL,GARDEN GROVE UNIFIED SCHOOL DISTRICT,TRENA SALCEDO,(714) 663-6151,600 SOUTH JACKSON,SANTA ANA,CA,92704,ORANGE,6,72,LICENSED,5/11/1992,,
DAY CARE CENTER,304370325,GARDEN GROVE UNIFIED SCHOOL DISTRICT/VIOLETTE,GARDEN GROVE UNIFIED SCHOOL DISTRICT,"VAN DAM, SARAH",(714) 663-6203,12091 LAMPSON AVENUE,GARDEN GROVE,CA,92840,ORANGE,6,48,LICENSED,4/3/2007,,
DAY CARE CENTER,304370216,GARDEN GROVE UNIFIED SCHOOL DISTRICT/WAKEHAM,GARDEN GROVE UNIFIED SCHOOL DISTRICT,MICHELLE RUSHALL,(714) 663-6407,7772 CHAPMAN,GARDEN GROVE,CA,92841,ORANGE,6,48,CLOSED,11/21/2005,6/17/2015,
DAY CARE CENTER,300601000,GARDEN GROVE UNITED METHODIST CHURCH PRESCHOOL,UNITED METHODIST CHURCH OF GARDEN GROVE,ELIZABETH SOLARES,(714) 530-0282,12741 MAIN STREET,GARDEN GROVE,CA,92840,ORANGE,6,68,CLOSED,6/25/1974,8/31/2018,
DAY CARE CENTER,70211452,GARDEN MONTESSORI SCHOOL,"PERRY, JAYE",KARINE HANSEL,(925) 837-2969,495 VERONA AVENUE,DANVILLE,CA,94526,CONTRA COSTA,2,24,LICENSED,9/24/1990,,
DAY CARE CENTER,197401040,GARDEN OF ANGELS PRESCHOOL,BAMBI ALLRED-FORSMAN,MARTA LEDEZMA,(310) 453-4680,1001-1009 18TH ST.,SANTA MONICA,CA,90403,LOS ANGELES,30,59,LICENSED,6/27/1995,,
DAY CARE CENTER,191890350,GARDEN OF PROGRESS HEAD START,FOUNDATION FOR EARLY CHILDHOOD EDUCATION,MARCIE HOUCHEN,(323) 264-4039,360 S. GLESS ST.,LOS ANGELES,CA,90033,LOS ANGELES,33,34,LICENSED,5/24/1995,,
DAY CARE CENTER,304270701,"GARDEN PATCH PRESCHOOL, THE","SOUTHLAND INTEGRATED SERVICES, INC.",NGOC TRAN,(714) 534-9049,12421 MAGNOLIA STREET,GARDEN GROVE,CA,92841,ORANGE,6,36,CLOSED,9/15/2000,6/20/2019,
DAY CARE CENTER,153808747,GARDEN PATHWAYS DOWNTOWN EDUCATION CENTER,"GARDEN PATHWAYS, INC.",LAURIE CURBOW,(661) 633-2302,1130 17TH STREET,BAKERSFIELD,CA,93301,KERN,4,72,LICENSED,8/9/2012,,
DAY CARE CENTER,426214456,GARDEN PRESCHOOL,FIRST UNITED METHODIST CHURCH OF SANTA BARBARA,ALAN R. STROUT,(805) 451-5487,305 EAST ANAPAMU STREET,SANTA BARBARA,CA,93101,SANTA BARBARA,17,47,LICENSED,8/22/2014,,
DAY CARE CENTER,214005195,"GARDEN SCHOOL, THE",ROSS PARK AND RECREATION,"TORNGA, MARY MARGARET & HU",(415) 450-7229,30 SIR FRANCIS DRAKE BLVD.,ROSS,CA,94957,MARIN,5,24,CLOSED,8/25/2010,5/29/2015,
DAY CARE CENTER,197411445,"GARDEN SCHOOL: CHABAD WESTSIDE PRESCHOOL, THE",CHABAD OF CALIFORNIA,KARNA CHANA BLUGRIND,(310) 288-5920,9051 W. PICO BLVD.,LOS ANGELES,CA,90035,LOS ANGELES,30,120,CLOSED,5/5/2004,2/14/2018,
DAY CARE CENTER,197410751,"GARDEN SCH,THE GAN ISRAEL PRESCH OF MARINA DEL REY",CHABAD OF CALIFORNIA,CAROLE PERL,(310) 301-7706,2929 WASHINGTON BLVD.,MARINA DEL REY,CA,90292,LOS ANGELES,30,41,CLOSED,11/9/2004,4/13/2018,
DAY CARE CENTER,343611191,GARDEN VALLEY SCHOOL,TWIN RIVER UNIFIED SCHOOL DISTRICT,"VANG, MAI",(916) 643-8750,3601 LARCHWOOD DRIVE,SACRAMENTO,CA,95834,SACRAMENTO,3,24,LICENSED,2/1/2006,,
DAY CARE CENTER,191603461,GARDENA BUDDHIST CHURCH,GARDENA BUDDHIST CHURCH,KEIKO DAMIATA,(310) 327-4627,1517 W. 166TH STREET,GARDENA,CA,90247,LOS ANGELES,30,94,LICENSED,9/16/1993,,
